"Date","data.science"
"1/4/04",-0.44
"1/11/04",-0.474
"1/18/04",-0.423
"1/25/04",-0.551
"2/1/04",-0.486
"2/8/04",-0.551
"2/15/04",-0.453
"2/22/04",-0.462
"2/29/04",-0.551
"3/7/04",-0.551
"3/14/04",-0.466
"3/21/04",-0.551
"3/28/04",-0.447
"4/4/04",-0.551
"4/11/04",-0.551
"4/18/04",-0.494
"4/25/04",-0.483
"5/2/04",-0.551
"5/9/04",-0.551
"5/16/04",-0.551
"5/23/04",-0.431
"5/30/04",-0.488
"6/6/04",-0.491
"6/13/04",-0.466
"6/20/04",-0.551
"6/27/04",-0.551
"7/4/04",-0.462
"7/11/04",-0.48
"7/18/04",-0.457
"7/25/04",-0.444
"8/1/04",-0.492
"8/8/04",-0.459
"8/15/04",-0.471
"8/22/04",-0.473
"8/29/04",-0.496
"9/5/04",-0.473
"9/12/04",-0.448
"9/19/04",-0.5
"9/26/04",-0.551
"10/3/04",-0.428
"10/10/04",-0.453
"10/17/04",-0.482
"10/24/04",-0.459
"10/31/04",-0.493
"11/7/04",-0.478
"11/14/04",-0.485
"11/21/04",-0.494
"11/28/04",-0.469
"12/5/04",-0.479
"12/12/04",-0.494
"12/19/04",-0.551
"12/26/04",-0.551
"1/2/05",-0.488
"1/9/05",-0.49
"1/16/05",-0.463
"1/23/05",-0.475
"1/30/05",-0.551
"2/6/05",-0.493
"2/13/05",-0.451
"2/20/05",-0.487
"2/27/05",-0.551
"3/6/05",-0.51
"3/13/05",-0.485
"3/20/05",-0.453
"3/27/05",-0.511
"4/3/05",-0.463
"4/10/05",-0.502
"4/17/05",-0.551
"4/24/05",-0.473
"5/1/05",-0.488
"5/8/05",-0.488
"5/15/05",-0.479
"5/22/05",-0.502
"5/29/05",-0.508
"6/5/05",-0.486
"6/12/05",-0.426
"6/19/05",-0.492
"6/26/05",-0.509
"7/3/05",-0.49
"7/10/05",-0.503
"7/17/05",-0.495
"7/24/05",-0.464
"7/31/05",-0.496
"8/7/05",-0.505
"8/14/05",-0.497
"8/21/05",-0.489
"8/28/05",-0.551
"9/4/05",-0.513
"9/11/05",-0.489
"9/18/05",-0.489
"9/25/05",-0.503
"10/2/05",-0.484
"10/9/05",-0.456
"10/16/05",-0.478
"10/23/05",-0.485
"10/30/05",-0.466
"11/6/05",-0.482
"11/13/05",-0.501
"11/20/05",-0.551
"11/27/05",-0.51
"12/4/05",-0.503
"12/11/05",-0.52
"12/18/05",-0.515
"12/25/05",-0.551
"1/1/06",-0.501
"1/8/06",-0.481
"1/15/06",-0.423
"1/22/06",-0.467
"1/29/06",-0.468
"2/5/06",-0.502
"2/12/06",-0.551
"2/19/06",-0.506
"2/26/06",-0.459
"3/5/06",-0.497
"3/12/06",-0.524
"3/19/06",-0.465
"3/26/06",-0.503
"4/2/06",-0.514
"4/9/06",-0.518
"4/16/06",-0.455
"4/23/06",-0.52
"4/30/06",-0.551
"5/7/06",-0.461
"5/14/06",-0.514
"5/21/06",-0.467
"5/28/06",-0.511
"6/4/06",-0.524
"6/11/06",-0.523
"6/18/06",-0.49
"6/25/06",-0.551
"7/2/06",-0.497
"7/9/06",-0.519
"7/16/06",-0.498
"7/23/06",-0.551
"7/30/06",-0.52
"8/6/06",-0.52
"8/13/06",-0.494
"8/20/06",-0.511
"8/27/06",-0.506
"9/3/06",-0.49
"9/10/06",-0.489
"9/17/06",-0.495
"9/24/06",-0.509
"10/1/06",-0.499
"10/8/06",-0.519
"10/15/06",-0.524
"10/22/06",-0.515
"10/29/06",-0.469
"11/5/06",-0.512
"11/12/06",-0.464
"11/19/06",-0.551
"11/26/06",-0.468
"12/3/06",-0.492
"12/10/06",-0.526
"12/17/06",-0.504
"12/24/06",-0.524
"12/31/06",-0.506
"1/7/07",-0.51
"1/14/07",-0.465
"1/21/07",-0.503
"1/28/07",-0.481
"2/4/07",-0.501
"2/11/07",-0.497
"2/18/07",-0.5
"2/25/07",-0.486
"3/4/07",-0.513
"3/11/07",-0.5
"3/18/07",-0.516
"3/25/07",-0.505
"4/1/07",-0.492
"4/8/07",-0.499
"4/15/07",-0.502
"4/22/07",-0.514
"4/29/07",-0.496
"5/6/07",-0.475
"5/13/07",-0.498
"5/20/07",-0.489
"5/27/07",-0.518
"6/3/07",-0.512
"6/10/07",-0.514
"6/17/07",-0.474
"6/24/07",-0.493
"7/1/07",-0.501
"7/8/07",-0.505
"7/15/07",-0.508
"7/22/07",-0.516
"7/29/07",-0.516
"8/5/07",-0.52
"8/12/07",-0.524
"8/19/07",-0.5
"8/26/07",-0.513
"9/2/07",-0.503
"9/9/07",-0.516
"9/16/07",-0.494
"9/23/07",-0.5
"9/30/07",-0.497
"10/7/07",-0.513
"10/14/07",-0.52
"10/21/07",-0.515
"10/28/07",-0.495
"11/4/07",-0.494
"11/11/07",-0.493
"11/18/07",-0.528
"11/25/07",-0.52
"12/2/07",-0.482
"12/9/07",-0.502
"12/16/07",-0.526
"12/23/07",-0.551
"12/30/07",-0.525
"1/6/08",-0.502
"1/13/08",-0.515
"1/20/08",-0.512
"1/27/08",-0.463
"2/3/08",-0.49
"2/10/08",-0.49
"2/17/08",-0.513
"2/24/08",-0.508
"3/2/08",-0.502
"3/9/08",-0.504
"3/16/08",-0.497
"3/23/08",-0.482
"3/30/08",-0.516
"4/6/08",-0.511
"4/13/08",-0.49
"4/20/08",-0.513
"4/27/08",-0.513
"5/4/08",-0.508
"5/11/08",-0.48
"5/18/08",-0.512
"5/25/08",-0.519
"6/1/08",-0.495
"6/8/08",-0.516
"6/15/08",-0.519
"6/22/08",-0.516
"6/29/08",-0.51
"7/6/08",-0.534
"7/13/08",-0.423
"7/20/08",-0.512
"7/27/08",-0.512
"8/3/08",-0.506
"8/10/08",-0.492
"8/17/08",-0.504
"8/24/08",-0.499
"8/31/08",-0.486
"9/7/08",-0.5
"9/14/08",-0.496
"9/21/08",-0.485
"9/28/08",-0.483
"10/5/08",-0.519
"10/12/08",-0.506
"10/19/08",-0.504
"10/26/08",-0.523
"11/2/08",-0.513
"11/9/08",-0.498
"11/16/08",-0.507
"11/23/08",-0.513
"11/30/08",-0.504
"12/7/08",-0.484
"12/14/08",-0.508
"12/21/08",-0.535
"12/28/08",-0.512
"1/4/09",-0.502
"1/11/09",-0.53
"1/18/09",-0.508
"1/25/09",-0.509
"2/1/09",-0.504
"2/8/09",-0.499
"2/15/09",-0.483
"2/22/09",-0.507
"3/1/09",-0.479
"3/8/09",-0.495
"3/15/09",-0.509
"3/22/09",-0.517
"3/29/09",-0.491
"4/5/09",-0.515
"4/12/09",-0.519
"4/19/09",-0.519
"4/26/09",-0.515
"5/3/09",-0.517
"5/10/09",-0.498
"5/17/09",-0.535
"5/24/09",-0.527
"5/31/09",-0.504
"6/7/09",-0.508
"6/14/09",-0.505
"6/21/09",-0.51
"6/28/09",-0.508
"7/5/09",-0.527
"7/12/09",-0.491
"7/19/09",-0.516
"7/26/09",-0.506
"8/2/09",-0.523
"8/9/09",-0.501
"8/16/09",-0.516
"8/23/09",-0.482
"8/30/09",-0.48
"9/6/09",-0.493
"9/13/09",-0.49
"9/20/09",-0.499
"9/27/09",-0.508
"10/4/09",-0.512
"10/11/09",-0.492
"10/18/09",-0.491
"10/25/09",-0.519
"11/1/09",-0.501
"11/8/09",-0.514
"11/15/09",-0.495
"11/22/09",-0.492
"11/29/09",-0.513
"12/6/09",-0.525
"12/13/09",-0.507
"12/20/09",-0.536
"12/27/09",-0.521
"1/3/10",-0.479
"1/10/10",-0.501
"1/17/10",-0.503
"1/24/10",-0.491
"1/31/10",-0.502
"2/7/10",-0.495
"2/14/10",-0.515
"2/21/10",-0.498
"2/28/10",-0.497
"3/7/10",-0.52
"3/14/10",-0.495
"3/21/10",-0.512
"3/28/10",-0.504
"4/4/10",-0.499
"4/11/10",-0.511
"4/18/10",-0.509
"4/25/10",-0.499
"5/2/10",-0.519
"5/9/10",-0.517
"5/16/10",-0.515
"5/23/10",-0.511
"5/30/10",-0.498
"6/6/10",-0.484
"6/13/10",-0.504
"6/20/10",-0.519
"6/27/10",-0.518
"7/4/10",-0.536
"7/11/10",-0.513
"7/18/10",-0.499
"7/25/10",-0.512
"8/1/10",-0.503
"8/8/10",-0.512
"8/15/10",-0.505
"8/22/10",-0.501
"8/29/10",-0.486
"9/5/10",-0.492
"9/12/10",-0.488
"9/19/10",-0.506
"9/26/10",-0.517
"10/3/10",-0.498
"10/10/10",-0.52
"10/17/10",-0.504
"10/24/10",-0.501
"10/31/10",-0.52
"11/7/10",-0.499
"11/14/10",-0.496
"11/21/10",-0.513
"11/28/10",-0.492
"12/5/10",-0.508
"12/12/10",-0.515
"12/19/10",-0.518
"12/26/10",-0.521
"1/2/11",-0.494
"1/9/11",-0.486
"1/16/11",-0.478
"1/23/11",-0.472
"1/30/11",-0.494
"2/6/11",-0.486
"2/13/11",-0.49
"2/20/11",-0.498
"2/27/11",-0.488
"3/6/11",-0.512
"3/13/11",-0.484
"3/20/11",-0.485
"3/27/11",-0.478
"4/3/11",-0.498
"4/10/11",-0.469
"4/17/11",-0.39
"4/24/11",-0.475
"5/1/11",-0.485
"5/8/11",-0.442
"5/15/11",-0.446
"5/22/11",-0.475
"5/29/11",-0.505
"6/5/11",-0.486
"6/12/11",-0.486
"6/19/11",-0.49
"6/26/11",-0.505
"7/3/11",-0.515
"7/10/11",-0.495
"7/17/11",-0.478
"7/24/11",-0.497
"7/31/11",-0.495
"8/7/11",-0.489
"8/14/11",-0.491
"8/21/11",-0.488
"8/28/11",-0.462
"9/4/11",-0.448
"9/11/11",-0.44
"9/18/11",-0.446
"9/25/11",-0.445
"10/2/11",-0.465
"10/9/11",-0.464
"10/16/11",-0.469
"10/23/11",-0.452
"10/30/11",-0.465
"11/6/11",-0.437
"11/13/11",-0.462
"11/20/11",-0.481
"11/27/11",-0.436
"12/4/11",-0.447
"12/11/11",-0.426
"12/18/11",-0.443
"12/25/11",-0.493
"1/1/12",-0.418
"1/8/12",-0.417
"1/15/12",-0.389
"1/22/12",-0.401
"1/29/12",-0.426
"2/5/12",-0.416
"2/12/12",-0.395
"2/19/12",-0.408
"2/26/12",-0.397
"3/4/12",-0.405
"3/11/12",-0.412
"3/18/12",-0.386
"3/25/12",-0.374
"4/1/12",-0.37
"4/8/12",-0.344
"4/15/12",-0.364
"4/22/12",-0.325
"4/29/12",-0.328
"5/6/12",-0.379
"5/13/12",-0.317
"5/20/12",-0.315
"5/27/12",-0.405
"6/3/12",-0.372
"6/10/12",-0.36
"6/17/12",-0.36
"6/24/12",-0.358
"7/1/12",-0.371
"7/8/12",-0.343
"7/15/12",-0.348
"7/22/12",-0.334
"7/29/12",-0.342
"8/5/12",-0.358
"8/12/12",-0.355
"8/19/12",-0.319
"8/26/12",-0.298
"9/2/12",-0.306
"9/9/12",-0.266
"9/16/12",-0.274
"9/23/12",-0.253
"9/30/12",-0.219
"10/7/12",-0.286
"10/14/12",-0.286
"10/21/12",-0.25
"10/28/12",-0.299
"11/4/12",-0.227
"11/11/12",-0.235
"11/18/12",-0.305
"11/25/12",-0.216
"12/2/12",-0.215
"12/9/12",-0.233
"12/16/12",-0.234
"12/23/12",-0.375
"12/30/12",-0.268
"1/6/13",-0.218
"1/13/13",-0.196
"1/20/13",-0.179
"1/27/13",-0.152
"2/3/13",-0.206
"2/10/13",-0.198
"2/17/13",-0.074
"2/24/13",-0.104
"3/3/13",-0.089
"3/10/13",-0.111
"3/17/13",-0.07
"3/24/13",-0.057
"3/31/13",0.126
"4/7/13",0.278
"4/14/13",0.265
"4/21/13",0.092
"4/28/13",0.406
"5/5/13",0.316
"5/12/13",0.223
"5/19/13",0.168
"5/26/13",0.239
"6/2/13",0.19
"6/9/13",0.167
"6/16/13",0.105
"6/23/13",0.14
"6/30/13",-0.01
"7/7/13",0.065
"7/14/13",0.226
"7/21/13",0.245
"7/28/13",0.241
"8/4/13",0.231
"8/11/13",0.223
"8/18/13",0.249
"8/25/13",0.316
"9/1/13",0.214
"9/8/13",0.295
"9/15/13",0.328
"9/22/13",0.268
"9/29/13",0.379
"10/6/13",0.363
"10/13/13",0.341
"10/20/13",0.408
"10/27/13",0.409
"11/3/13",0.38
"11/10/13",0.535
"11/17/13",0.516
"11/24/13",0.321
"12/1/13",0.498
"12/8/13",0.518
"12/15/13",0.488
"12/22/13",0.141
"12/29/13",0.291
"1/5/14",0.635
"1/12/14",0.722
"1/19/14",0.873
"1/26/14",0.857
"2/2/14",0.748
"2/9/14",0.778
"2/16/14",0.829
"2/23/14",0.871
"3/2/14",0.801
"3/9/14",0.849
"3/16/14",0.832
"3/23/14",0.973
"3/30/14",1.086
"4/6/14",1.053
"4/13/14",1.029
"4/20/14",1.075
"4/27/14",0.944
"5/4/14",1.162
"5/11/14",1.019
"5/18/14",1.049
"5/25/14",0.965
"6/1/14",1.033
"6/8/14",1.07
"6/15/14",1.009
"6/22/14",1.098
"6/29/14",0.988
"7/6/14",1.106
"7/13/14",1.206
"7/20/14",1.266
"7/27/14",1.13
"8/3/14",1.343
"8/10/14",1.966
"8/17/14",1.703
"8/24/14",1.723
"8/31/14",1.575
"9/7/14",1.528
"9/14/14",1.45
"9/21/14",1.486
"9/28/14",1.528
"10/5/14",1.6
"10/12/14",1.708
"10/19/14",1.535
"10/26/14",1.682
"11/2/14",1.738
"11/9/14",1.767
"11/16/14",1.733
"11/23/14",1.144
"11/30/14",1.592
"12/7/14",1.559
"12/14/14",1.471
"12/21/14",1.057
"12/28/14",1.213
"1/4/15",1.899
"1/11/15",2.089
"1/18/15",1.939
"1/25/15",2.103
"2/1/15",2.036
"2/8/15",1.913
"2/15/15",1.891
"2/22/15",2.078
"3/1/15",2.063
"3/8/15",2.269
"3/15/15",2.166
"3/22/15",2.253
"3/29/15",2.334
"4/5/15",2.478
"4/12/15",2.45
"4/19/15",2.437
"4/26/15",2.457
"5/3/15",2.625
"5/10/15",2.559
"5/17/15",2.481
"5/24/15",2.467
"5/31/15",2.597
"6/7/15",2.48
"6/14/15",2.399
"6/21/15",2.541
"6/28/15",2.365
"7/5/15",2.783
"7/12/15",2.77
"7/19/15",2.979
"7/26/15",3.134
"8/2/15",2.994
"8/9/15",2.972
"8/16/15",3.061
"8/23/15",3.098
"8/30/15",3.112
"9/6/15",3.082
"9/13/15",3.178
"9/20/15",3.168
"9/27/15",3.16
"10/4/15",3.244
"10/11/15",3.206
"10/18/15",3.502
"10/25/15",3.187
"11/1/15",3.338
"11/8/15",3.295
"11/15/15",3.022
"11/22/15",2.325
"11/29/15",2.723
"12/6/15",2.887
"12/13/15",2.913
"12/20/15",2.227
"12/27/15",2.36
"1/3/16",3.662
"1/10/16",3.721
"1/17/16",4.087
"1/24/16",4.104
